Month.Numeric,Month.Factor,Year,Wrangler.Sales,Elantra.Sales,Unemployment.Rate,Wrangler.Queries,Elantra.Queries,CPI.All,CPI.Energy
1,January,2010,4888,7690,9.8,32,9,217.488,212.807
2,February,2010,5967,7966,9.8,35,10,217.281,209.624
3,March,2010,8410,8225,9.9,35,10,217.353,209.326
4,April,2010,8327,9657,9.9,38,10,217.403,209.219
5,May,2010,9634,9781,9.6,38,11,217.290,206.631
6,June,2010,8923,14245,9.4,42,11,217.199,203.764
7,July,2010,10043,18215,9.4,42,12,217.605,206.877
8,August,2010,7666,15181,9.5,40,12,217.923,208.770
9,September,2010,7765,10062,9.5,37,11,218.275,209.832
10,October,2010,7908,9497,9.4,34,11,219.035,216.710
11,November,2010,6552,8631,9.8,40,13,219.590,219.496
12,December,2010,8227,13096,9.3,36,13,220.472,227.130
1,January,2011,6444,9659,9.1,42,17,221.187,229.258
2,February,2011,7636,12289,9,43,24,221.898,232.068
3,March,2011,8807,19255,9,43,27,223.046,240.079
4,April,2011,9051,22100,9.1,42,25,224.093,247.977
5,May,2011,10008,20006,9,44,26,224.806,250.744
6,June,2011,11290,19992,9.1,50,26,224.806,245.534
7,July,2011,14355,15181,9,51,25,225.395,246.187
8,August,2011,12949,15054,9,51,22,226.106,246.880
9,September,2011,11388,14386,9,48,20,226.597,248.550
10,October,2011,9892,13000,8.8,44,16,226.750,246.655
11,November,2011,9225,12414,8.6,47,17,227.169,247.640
12,December,2011,11415,13025,8.5,45,16,227.223,243.353
1,January,2012,7896,10900,8.3,45,19,227.842,244.876
2,February,2012,9319,13820,8.3,47,21,228.329,248.898
3,March,2012,12557,19681,8.2,50,20,228.807,249.742
4,April,2012,12184,16836,8.2,50,19,229.187,249.677
5,May,2012,14454,18877,8.2,55,20,228.713,241.806
6,June,2012,14461,17655,8.2,57,20,228.524,235.897
7,July,2012,12216,18512,8.2,58,22,228.590,233.568
8,August,2012,13293,17989,8.1,55,21,229.918,244.987
9,September,2012,12097,18305,7.8,51,20,231.015,252.987
10,October,2012,11310,14512,7.8,44,16,231.638,256.017
11,November,2012,10337,15923,7.7,44,16,231.249,248.819
12,December,2012,11545,19024,7.9,44,14,231.221,244.708
1,January,2013,8854,12174,8,45,15,231.679,245.025
2,February,2013,10091,16219,7.7,49,18,232.937,255.696
3,March,2013,12901,26153,7.5,53,19,232.282,246.595
4,April,2013,13445,24445,7.6,53,17,231.797,240.473
5,May,2013,16272,25090,7.5,58,18,231.893,240.468
6,June,2013,16165,22163,7.5,60,19,232.445,242.711
7,July,2013,14404,23958,7.3,62,20,232.900,242.986
8,August,2013,15825,24700,7.3,58,19,233.456,244.833
9,September,2013,11984,19691,7.2,54,16,233.544,242.745
10,October,2013,11780,14876,7.2,49,16,233.669,241.954
11,November,2013,11753,16751,6.9,50,16,234.100,242.718
12,December,2013,12028,21692,6.7,48,16,234.719,245.733
1,January,2014,9553,15326,6.6,53,17,235.347,250.798
2,February,2014,10640,16393,6.7,59,16,235.522,249.905
3,March,2014,14481,21518,6.7,62,18,235.956,249.338
4,April,2014,15389,20225,6.2,62,17,236.463,249.875
5,May,2014,19235,21867,6.3,66,18,236.867,248.642
6,June,2014,16439,17168,6.1,70,19,237.188,249.326
7,July,2014,16388,22213,6.2,69,19,237.485,248.289
8,August,2014,17988,22845,6.2,68,18,237.439,245.372
9,September,2014,13955,18848,5.9,61,17,237.452,241.320
10,October,2014,13665,12758,5.7,57,16,237.447,237.184
11,November,2014,13592,14002,5.8,57,16,237.042,230.002
12,December,2014,14003,18860,5.6,52,16,236.270,218.779
1,January,2015,11683,12240,5.7,57,17,234.836,200.596
2,February,2015,12911,15708,5.5,62,17,235.274,202.644
3,March,2015,17524,28794,5.4,68,20,235.956,205.630
4,April,2015,18849,21911,5.4,69,18,236.165,202.958
5,May,2015,22324,23432,5.5,74,19,236.952,208.846
6,June,2015,19159,26613,5.3,78,20,237.618,211.708
7,July,2015,19320,22135,5.2,81,21,237.993,211.332
8,August,2015,18160,22405,5.1,84,22,237.989,208.365
9,September,2015,17583,20724,5,76,20,237.467,196.978
10,October,2015,15751,15868,5,66,18,237.764,195.974
11,November,2015,13847,17634,5,64,18,238.072,195.454
12,December,2015,15591,14242,5,63,18,237.827,190.540
1,January,2016,10797,9885,4.9,71,19,237.990,187.621
2,February,2016,13234,11973,4.9,76,22,237.532,177.175
3,March,2016,17710,17505,5,79,21,238.022,180.843
4,April,2016,19003,12361,5,81,21,238.843,185.510
5,May,2016,19551,22168,4.7,84,23,239.439,188.118
6,June,2016,20060,22414,4.9,88,23,240.074,191.910
7,July,2016,18741,20629,4.9,88,23,240.058,188.597
8,August,2016,15290,20733,4.9,83,25,240.569,189.183
9,September,2016,14255,19382,4.9,77,21,241.017,191.547
10,October,2016,14469,15917,4.8,73,20,241.667,195.923
11,November,2016,12957,15796,4.6,69,19,242.081,196.803
12,December,2016,15721,19556,4.7,72,21,242.784,200.636
1,January,2017,11334,13185,4.8,74,22,244.028,208.507
2,February,2017,13641,15954,4.7,77,22,244.102,204.663
3,March,2017,16336,25063,4.5,79,23,243.717,200.985
4,April,2017,18841,16346,4.4,84,23,244.087,202.662
